#origin time,true mag,true lat,true lon,true depth,alert time,1st estimate: lat, lon, dep, mag,last estimate:lat, lon, dep, mag
2015-04-25T12:05:59.470000Z,1.87,33.1,-116.06,8.18,12.29,33.06,-116.15,10.0,2.41,33.09,-116.08,9.96,2.1
2015-01-14T19:02:40.050000Z,2.4,36.12,-118.05,0.83,18.91,36.14,-118.05,10.0,2.3,36.06,-118.0,5.0,2.43
2015-05-04T04:43:56.930000Z,2.74,34.0,-116.44,3.47,19.03,34.01,-116.44,5.0,2.63,34.0,-116.43,5.0,2.65
2014-12-06T12:23:19.500000Z,3.46,34.82,-116.42,3.38,24.59,34.82,-116.41,5.0,3.39,34.82,-116.41,5.0,3.52
2015-05-06T23:16:29.800000Z,2.03,36.04,-117.61,3.14,10.77,36.04,-117.6,5.0,2.02,36.04,-117.6,5.0,2.02
2015-01-11T08:18:14.560000Z,1.54,33.47,-117.09,14.66,15.09,33.58,-117.01,5.0,1.99,33.58,-117.01,5.0,1.97
2014-12-06T14:40:00.340000Z,2.84,37.38,-118.52,11.35,33.35,37.38,-118.53,5.0,2.87,37.49,-118.38,5.0,2.7
2015-03-10T07:52:53.610000Z,2.95,32.2,-115.28,0.02,20.67,32.22,-115.29,10.0,2.86,32.22,-115.29,10.0,3.18
2015-03-11T07:11:59.790000Z,1.85,34.21,-117.07,7.51,11.09,34.19,-117.05,13.1,2.25,34.19,-117.05,13.1,2.29
2015-04-04T14:54:45.540000Z,3.13,34.33,-118.55,6.42,10.36,34.32,-118.55,15.09,3.42,34.33,-118.53,5.0,3.2
2015-04-24T01:56:35.740000Z,2.56,34.88,-118.84,4.17,20.04,34.88,-118.83,5.0,2.73,34.88,-118.83,5.0,2.84
2015-04-30T01:08:51.410000Z,2.23,33.79,-116.06,8.55,16.88,33.79,-116.06,10.54,2.23,33.79,-116.06,5.0,2.32
2015-05-18T03:27:30.800000Z,2.73,34.01,-118.75,11.97,10.01,33.92,-118.71,15.08,3.17,34.0,-118.75,12.6,2.75
2015-05-26T06:49:29.990000Z,2.01,33.48,-116.48,13.9,8.87,33.49,-116.48,47.29,1.57,33.47,-116.48,11.62,2.26
2014-12-12T10:11:55.090000Z,2.16,32.43,-115.24,1.46,33.34,32.39,-115.19,10.0,2.67,32.39,-115.19,10.0,2.7
2015-02-21T07:38:34.610000Z,1.59,34.0,-116.82,12.88,9.32,33.94,-116.83,26.74,1.89,34.0,-116.83,15.75,1.91
2015-01-16T20:29:49.800000Z,2.37,34.67,-116.29,2.5,24.26,34.68,-116.3,10.0,2.37,34.68,-116.27,10.0,2.44
2015-05-14T08:04:24.710000Z,2.73,32.97,-115.55,13.55,9.27,32.97,-115.56,5.0,2.94,32.97,-115.55,14.75,2.8
2014-12-24T06:00:11.470000Z,3.56,33.18,-115.6,1.08,14.38,33.17,-115.59,5.0,3.78,33.19,-115.63,7.13,3.42
2015-03-28T03:56:32.250000Z,1.98,33.92,-116.03,2.7,13.59,33.93,-116.03,7.67,2.01,33.93,-116.03,8.51,2.02
2015-04-14T16:33:24.980000Z,2.44,34.26,-117.54,11.62,17.38,34.26,-117.55,15.98,2.83,34.26,-117.55,11.39,2.62
2015-05-31T13:02:56.460000Z,3.59,33.31,-116.28,13.23,11.27,33.33,-116.28,12.18,4.05,33.31,-116.28,7.55,4.13
2015-04-04T14:52:51.770000Z,2.85,34.32,-118.56,7.78,10.11,34.33,-118.54,31.33,3.09,34.32,-118.53,5.0,2.89
2015-02-19T23:24:29.600000Z,2.68,34.31,-116.94,9.8,9.32,34.32,-116.94,18.59,2.95,34.3,-116.95,5.0,2.82
2015-03-02T06:38:04.940000Z,1.7,33.03,-116.41,8.87,12.26,33.05,-116.41,12.23,2.06,33.05,-116.41,12.23,2.03
2015-02-18T17:08:47.930000Z,2.29,33.88,-116.88,13.98,12.66,33.88,-116.88,15.71,2.52,33.87,-116.87,9.28,2.53
2015-04-26T00:37:31.080000Z,1.7,33.47,-116.57,9.43,8.76,33.46,-116.56,20.95,2.28,33.48,-116.56,12.62,1.91
2015-05-15T09:41:50.390000Z,1.74,33.7,-116.76,15.51,13.45,33.71,-116.76,37.81,2.06,33.7,-116.76,16.29,1.97
2015-04-07T15:58:27.290000Z,2.01,34.62,-119.09,7.33,15.02,34.64,-119.12,5.0,2.23,34.64,-119.09,5.0,2.29
2015-04-15T09:03:18.160000Z,1.19,35.48,-118.3,2.08,-5.38,36.12,-117.74,11.35,1.86,36.1,-117.76,6.91,2.0
2015-03-03T08:34:00.900000Z,1.9,33.29,-116.25,9.26,12.74,33.3,-116.25,10.0,2.04,33.28,-116.25,5.0,2.21
2015-05-28T08:13:26.180000Z,1.82,34.01,-117.59,10.86,9.9,34.02,-117.6,40.34,1.76,34.02,-117.59,10.56,2.18
2015-04-28T00:42:58.930000Z,2.22,34.46,-120.64,2.77,16.94,34.43,-120.58,10.0,2.25,34.44,-120.59,11.44,2.33
2015-05-21T05:06:12.920000Z,3.32,33.17,-115.66,3.35,14.01,33.16,-115.64,9.77,3.76,33.16,-115.65,5.05,3.4
2015-03-25T01:31:49.320000Z,2.41,36.03,-117.62,0.8,14.49,36.06,-117.61,5.0,2.42,36.04,-117.63,5.0,2.41
2015-01-24T10:59:56.530000Z,2.32,33.7,-116.73,20.24,12.02,33.65,-116.73,55.31,2.59,33.69,-116.74,10.18,2.61
2015-02-07T18:46:36.280000Z,1.25,33.31,-116.28,9.6,5.68,33.3,-116.29,10.01,2.24,33.3,-116.29,10.39,2.27
2015-02-09T06:20:21.490000Z,2.25,34.25,-117.71,13.05,10.86,34.3,-117.72,27.51,2.43,34.3,-117.72,27.51,2.58
2015-05-21T04:37:21.410000Z,2.12,33.17,-115.64,3.42,15.15,33.17,-115.62,5.0,2.71,33.17,-115.62,5.0,2.88
2015-03-11T11:34:48.450000Z,1.76,36.0,-117.91,3.96,11.55,36.01,-117.91,5.9,2.14,36.0,-117.91,5.62,2.14
2015-04-13T10:26:57.780000Z,1.93,33.47,-116.58,8.6,10.5,33.47,-116.58,19.31,2.11,33.47,-116.59,5.9,2.16
2015-03-08T02:49:06.980000Z,1.79,35.12,-118.81,2.09,14.98,35.1,-118.75,13.51,2.52,35.12,-118.79,5.0,2.56
2015-04-02T18:50:15.200000Z,3.49,32.41,-115.21,8.41,19.12,32.35,-115.23,11.79,3.64,21.96,-110.16,379.64,3.75
2015-04-27T08:48:06.800000Z,3.05,35.7,-121.05,9.84,38.93,35.96,-121.27,10.0,3.31,35.96,-121.27,10.0,3.27
2015-01-08T14:56:34.000000Z,1.86,35.31,-118.56,7.68,16.33,35.31,-118.55,7.1,2.04,35.31,-118.55,7.1,2.11
2015-04-23T14:54:10.250000Z,2.43,32.89,-116.26,7.96,10.5,32.89,-116.24,13.35,2.88,32.88,-116.26,5.81,2.71
2014-12-21T22:54:27.410000Z,2.33,33.15,-116.59,15.56,24.05,33.14,-116.61,9.09,2.61,33.14,-116.61,10.0,2.6
2015-05-02T14:17:18.450000Z,1.92,33.91,-116.74,10.93,11.5,33.91,-116.73,13.92,1.99,33.91,-116.73,5.65,2.09
2015-02-09T01:12:37.330000Z,2.96,31.53,-115.66,13.89,30.29,31.5,-115.69,10.0,2.45,31.49,-115.69,10.0,2.88
2015-02-09T10:26:25.730000Z,2.84,31.53,-115.66,12.96,43.48,31.48,-115.7,10.0,2.6,31.48,-115.7,10.0,2.75
2015-04-08T19:30:28.070000Z,4.03,32.41,-115.24,6.0,28.9,32.39,-115.22,14.81,4.12,32.39,-115.22,14.81,4.19
2015-04-25T15:16:07.800000Z,2.23,33.1,-116.06,9.85,12.59,33.09,-116.05,5.0,2.57,33.09,-116.05,7.49,2.38
2014-12-24T06:49:06.440000Z,2.47,33.73,-116.07,10.29,13.05,33.72,-116.08,20.56,2.73,33.73,-116.09,5.32,2.71
2015-02-13T06:08:45.350000Z,1.91,36.43,-117.86,4.06,17.63,36.44,-117.85,5.31,1.87,36.44,-117.86,5.0,2.16
2015-03-20T10:44:33.930000Z,1.41,36.02,-117.89,3.16,8.58,36.01,-117.94,5.0,2.04,36.01,-117.94,5.0,1.83
2015-05-21T20:39:32.570000Z,2.05,34.09,-117.32,18.0,19.09,34.08,-117.33,11.55,2.32,34.07,-117.33,9.33,2.41
2015-01-29T22:27:05.700000Z,1.77,36.3,-118.35,1.1,26.91,36.33,-118.49,10.0,2.19,36.33,-118.49,10.0,2.15
2015-05-04T05:54:10.900000Z,1.91,34.0,-116.44,2.78,10.99,34.02,-116.44,5.0,1.95,34.01,-116.44,5.0,2.08
2015-01-28T12:09:45.920000Z,2.06,32.77,-115.45,4.38,24.82,32.82,-115.47,16.27,2.13,32.8,-115.47,15.15,2.24
2015-01-31T02:26:43.830000Z,2.51,36.08,-117.88,1.48,12.67,36.07,-117.87,5.0,2.51,36.08,-117.88,5.0,2.6
2015-03-28T14:03:34.070000Z,1.98,33.92,-116.02,2.89,19.86,33.93,-116.03,5.0,2.11,33.93,-116.03,5.0,2.19
2015-02-27T00:10:09.230000Z,1.8,36.03,-117.97,3.63,23.8,36.02,-117.97,5.0,2.08,36.02,-117.97,5.0,2.09
2015-03-10T06:45:32.580000Z,2.18,36.05,-117.71,1.1,13.91,36.06,-117.69,15.41,2.49,36.05,-117.71,5.0,2.39
2015-04-30T18:43:27.170000Z,2.47,35.16,-117.1,4.48,15.77,35.14,-117.11,10.0,2.27,35.17,-117.1,10.0,2.46
2015-05-30T22:35:31.560000Z,2.25,36.01,-117.72,3.11,20.37,36.0,-117.73,5.0,2.22,36.01,-117.72,5.0,2.42
2014-12-23T08:20:24.340000Z,2.18,33.47,-117.09,14.47,15.15,33.47,-117.1,14.33,2.6,33.47,-117.1,14.33,2.67
2015-05-21T17:32:52.890000Z,1.92,35.83,-118.01,9.82,9.17,36.04,-118.31,96.68,2.36,35.83,-118.01,10.69,2.19
2015-05-14T11:13:19.310000Z,2.37,33.04,-115.94,2.67,21.38,33.02,-115.92,9.32,2.4,33.02,-115.92,8.05,2.55
2015-03-11T22:45:59.540000Z,2.28,35.57,-118.35,10.15,15.88,35.56,-118.35,10.0,2.63,35.57,-118.34,5.0,2.6
